seq_id,score,coeff_beta
seq69,64.80331756443464,3.0
seq70,64.80331756443464,3.0
seq71,64.80331756443464,3.0
seq72,64.80331756443464,3.0
seq73,64.80331756443464,3.0
seq74,64.88743647454261,3.0
seq75,64.88743647454261,3.0
seq76,64.88743647454261,3.0
seq77,64.99436610677428,3.0
seq78,64.99436610677428,3.0
seq79,64.99436610677428,3.0
seq80,64.99436610677428,3.0
seq81,65.03059789856964,3.0
seq82,65.03059789856964,3.0
seq83,65.03059789856964,3.0
seq84,65.03059789856964,3.0
seq85,65.03059789856964,3.0
seq86,65.03059789856964,3.0
seq87,65.03059789856964,3.0
seq88,65.03059789856964,3.0
seq89,65.03059789856964,3.0
seq90,65.02349917498258,3.0
seq91,65.07448469319267,3.0
seq92,65.07448469319267,3.0
seq93,65.07448469319267,3.0
seq94,65.07448469319267,3.0
seq95,65.07448469319267,3.0
seq96,65.10211710489999,3.0
seq97,65.10211710489999,3.0
seq98,65.09238105391326,3.0
seq99,65.09238105391326,3.0
seq100,61.83548180982579,3.0
seq101,61.92531307130462,3.0
seq102,61.97727446064148,3.0
seq103,61.97727446064148,3.0
seq104,61.97727446064148,3.0
seq105,61.97727446064148,3.0
seq106,62.243583797670794,3.0
seq107,62.30690932735707,3.0
seq108,62.44266774228124,3.0
seq109,62.44266774228124,3.0
seq110,62.5472409360271,3.0
seq111,62.63660756967718,3.0
seq112,62.722659172323404,3.0
seq113,62.8857966142189,3.0
seq114,62.91112321547826,3.0
seq115,62.91112321547826,3.0
seq116,63.072688282796406,3.0
seq117,63.072688282796406,3.0
seq118,63.114908057425346,3.0
seq119,63.13626767766859,3.0
seq120,63.26966633874857,3.0
seq121,63.33831024699162,3.0
seq122,63.397607212170776,3.0
seq123,63.397607212170776,3.0
seq124,63.44422502875622,3.0
seq125,63.44422502875622,3.0
seq126,63.44422502875622,3.0
seq127,63.52635136640535,3.0
seq128,63.52635136640535,3.0
seq129,63.52635136640535,3.0
seq130,63.52635136640535,3.0
seq131,63.72475344015048,3.0
seq132,63.72475344015048,3.0
seq133,63.88726717776731,3.0
seq134,63.974157067266056,3.0
